trajectory,date,longitude,latitude,elevation
gpx_1001,2014-10-23 09:19:38,5.765841667,45.191451667,-48.5
gpx_1001,2014-10-23 09:19:43,5.765835,45.191446667,-48.5
gpx_1001,2014-10-23 09:19:48,5.76584,45.191445,-48.5
gpx_1001,2014-10-23 09:19:53,5.765845,45.191453333,-48.5
gpx_1001,2014-10-23 09:19:58,5.765848333,45.191456667,-48.5
gpx_1001,2014-10-23 09:20:03,5.765851667,45.191463333,-48.5
gpx_1001,2014-10-23 09:20:08,5.765375,45.194523333,234.7
gpx_1001,2014-10-23 09:20:13,5.765388333,45.194463333,232.0
gpx_1001,2014-10-23 09:20:18,5.765366667,45.194336667,230.0
gpx_1001,2014-10-23 09:20:23,5.765376667,45.194245,228.1
gpx_1001,2014-10-23 09:20:28,5.765376667,45.19424,228.5
gpx_1001,2014-10-23 09:20:33,5.765375,45.19424,228.6
gpx_1001,2014-10-23 09:20:38,5.765375,45.19424,228.6
gpx_1001,2014-10-23 09:20:43,5.765375,45.194236667,228.4
gpx_1001,2014-10-23 09:20:48,5.765381667,45.194226667,227.6
gpx_1001,2014-10-23 09:20:53,5.765381667,45.194223333,227.7
gpx_1001,2014-10-23 09:20:58,5.765378333,45.194215,227.4
gpx_1001,2014-10-23 09:21:03,5.765375,45.194213333,227.6
gpx_1001,2014-10-23 09:21:08,5.76537,45.194203333,228.0
gpx_1001,2014-10-23 09:21:13,5.76536,45.19419,228.6
gpx_1001,2014-10-23 09:21:18,5.765355,45.194176667,229.2
gpx_1001,2014-10-23 09:21:23,5.765355,45.19416,229.4
gpx_1001,2014-10-23 09:21:28,5.765355,45.19416,229.4
gpx_1001,2014-10-23 09:21:33,5.765358333,45.194141667,228.2
gpx_1001,2014-10-23 09:21:38,5.765358333,45.194141667,228.2
gpx_1001,2014-10-23 09:21:43,5.765356667,45.19414,228.1
gpx_1001,2014-10-23 09:21:48,5.765356667,45.19414,228.1
gpx_1001,2014-10-23 09:21:53,5.765356667,45.19414,228.1
gpx_1001,2014-10-23 09:21:58,5.765353333,45.194131667,227.8
gpx_1001,2014-10-23 09:22:03,5.765353333,45.194126667,227.7
gpx_1001,2014-10-23 09:22:08,5.765338333,45.194138333,228.7
gpx_1001,2014-10-23 09:22:13,5.765336667,45.194138333,228.7
gpx_1001,2014-10-23 09:22:18,5.765328333,45.194143333,229.5
gpx_1001,2014-10-23 09:22:23,5.765315,45.194146667,230.1
gpx_1001,2014-10-23 09:22:28,5.765303333,45.194141667,231.8
gpx_1001,2014-10-23 09:22:33,5.765301667,45.194141667,232.1
gpx_1001,2014-10-23 09:22:38,5.765301667,45.19414,232.1
gpx_1001,2014-10-23 09:22:43,5.765301667,45.194136667,232.5
gpx_1001,2014-10-23 09:22:48,5.76531,45.19416,232.3
gpx_1001,2014-10-23 09:22:53,5.765335,45.194263333,231.4
gpx_1001,2014-10-23 09:22:58,5.7656,45.194358333,231.0
gpx_1001,2014-10-23 09:23:03,5.765736667,45.194461667,229.9
gpx_1001,2014-10-23 09:23:08,5.7656,45.194641667,229.5
gpx_1001,2014-10-23 09:23:13,5.765223333,45.194701667,228.5
gpx_1001,2014-10-23 09:23:18,5.76473,45.194701667,227.7
gpx_1001,2014-10-23 09:23:23,5.764273333,45.194713333,227.4
gpx_1001,2014-10-23 09:23:28,5.763853333,45.19472,227.1
gpx_1001,2014-10-23 09:23:33,5.763458333,45.19468,226.3
gpx_1001,2014-10-23 09:23:38,5.763081667,45.1947,224.9
gpx_1001,2014-10-23 09:23:43,5.762631667,45.194671667,224.1
gpx_1001,2014-10-23 09:23:48,5.762188333,45.194601667,224.6
gpx_1001,2014-10-23 09:23:53,5.761775,45.194513333,224.7
gpx_1001,2014-10-23 09:23:58,5.761373333,45.194408333,223.7
gpx_1001,2014-10-23 09:24:03,5.760976667,45.194248333,224.4
gpx_1001,2014-10-23 09:24:08,5.760611667,45.19409,223.6
gpx_1001,2014-10-23 09:24:13,5.760225,45.193861667,223.8
gpx_1001,2014-10-23 09:24:23,5.759888333,45.193626667,222.1
gpx_1001,2014-10-23 09:24:28,5.759418333,45.193095,220.4
gpx_1001,2014-10-23 09:24:33,5.759261667,45.192775,220.9
gpx_1001,2014-10-23 09:24:38,5.75917,45.192443333,222.4
gpx_1001,2014-10-23 09:24:47,5.759113333,45.192178333,224.0
gpx_1001,2014-10-23 09:24:53,5.759036667,45.191998333,222.0
gpx_1001,2014-10-23 09:24:58,5.758885,45.191945,221.2
gpx_1001,2014-10-23 09:24:59,5.758596667,45.191936667,221.5
gpx_1001,2014-10-23 09:25:08,5.758316667,45.191923333,221.6
gpx_1001,2014-10-23 09:25:13,5.758013333,45.191901667,221.4
gpx_1001,2014-10-23 09:25:18,5.757583333,45.191885,221.1
gpx_1001,2014-10-23 09:25:23,5.757143333,45.191856667,221.3
gpx_1001,2014-10-23 09:25:27,5.756685,45.191841667,221.5
gpx_1001,2014-10-23 09:25:33,5.756238333,45.191816667,221.8
gpx_1001,2014-10-23 09:25:38,5.755826667,45.19179,221.8
gpx_1001,2014-10-23 09:25:43,5.755493333,45.191851667,223.0
gpx_1001,2014-10-23 09:25:48,5.755186667,45.192058333,221.7
gpx_1001,2014-10-23 09:25:53,5.754883333,45.192336667,221.9
gpx_1001,2014-10-23 09:25:57,5.754578333,45.192491667,221.9
gpx_1001,2014-10-23 09:26:03,5.754215,45.19246,223.3
gpx_1001,2014-10-23 09:26:08,5.753915,45.192551667,226.3
gpx_1001,2014-10-23 09:26:13,5.753715,45.192546667,226.5
gpx_1001,2014-10-23 09:26:18,5.753493333,45.192193333,226.1
gpx_1001,2014-10-23 09:26:23,5.753235,45.191913333,226.7
gpx_1001,2014-10-23 09:26:28,5.752978333,45.191636667,227.9
gpx_1001,2014-10-23 09:26:33,5.752788333,45.191433333,227.8
gpx_1001,2014-10-23 09:26:38,5.75253,45.19113,228.8
gpx_1001,2014-10-23 09:26:43,5.752408333,45.190933333,229.2
gpx_1001,2014-10-23 09:26:48,5.752265,45.190821667,226.5
gpx_1001,2014-10-23 09:26:53,5.752141667,45.190641667,224.8
gpx_1001,2014-10-23 09:26:58,5.751998333,45.190341667,224.8
gpx_1001,2014-10-23 09:27:03,5.751835,45.190023333,224.8
gpx_1001,2014-10-23 09:27:08,5.751645,45.18973,224.7
gpx_1001,2014-10-23 09:27:13,5.751413333,45.189453333,225.3
gpx_1001,2014-10-23 09:27:18,5.751095,45.189206667,226.7
gpx_1001,2014-10-23 09:27:23,5.750773333,45.188978333,225.8
gpx_1001,2014-10-23 09:27:28,5.750435,45.188771667,225.7
gpx_1001,2014-10-23 09:27:33,5.750045,45.188613333,225.8
gpx_1001,2014-10-23 09:27:38,5.749585,45.188488333,225.5
gpx_1001,2014-10-23 09:27:43,5.749128333,45.188413333,225.7
gpx_1001,2014-10-23 09:27:48,5.748681667,45.188398333,225.3
gpx_1001,2014-10-23 09:27:53,5.748251667,45.188393333,224.5
gpx_1001,2014-10-23 09:27:58,5.747765,45.188378333,225.3
gpx_1001,2014-10-23 09:28:03,5.747325,45.188371667,225.5
gpx_1001,2014-10-23 09:28:08,5.746896667,45.188368333,225.9
gpx_1001,2014-10-23 09:28:13,5.746481667,45.188381667,225.4
gpx_1001,2014-10-23 09:28:18,5.746065,45.188421667,224.6
gpx_1001,2014-10-23 09:28:23,5.7456,45.188473333,221.9
gpx_1001,2014-10-23 09:28:28,5.7451,45.188551667,219.4
gpx_1001,2014-10-23 09:28:33,5.744646667,45.188666667,218.7
gpx_1001,2014-10-23 09:28:38,5.744193333,45.188786667,217.0
gpx_1001,2014-10-23 09:28:43,5.743783333,45.188921667,215.3
gpx_1001,2014-10-23 09:28:48,5.743348333,45.189093333,215.9
gpx_1001,2014-10-23 09:28:53,5.74294,45.18927,217.5
gpx_1001,2014-10-23 09:28:58,5.742563333,45.189463333,217.7
gpx_1001,2014-10-23 09:29:03,5.742233333,45.189691667,218.2
gpx_1001,2014-10-23 09:29:08,5.741968333,45.189963333,218.5
gpx_1001,2014-10-23 09:29:13,5.741766667,45.190255,219.4
gpx_1001,2014-10-23 09:29:18,5.741593333,45.19056,219.1
gpx_1001,2014-10-23 09:29:23,5.741436667,45.190846667,218.3
gpx_1001,2014-10-23 09:29:28,5.74135,45.191128333,218.5
gpx_1001,2014-10-23 09:29:33,5.741225,45.191416667,219.0
gpx_1001,2014-10-23 09:29:38,5.741051667,45.191635,217.6
gpx_1001,2014-10-23 09:29:43,5.740835,45.19169,217.9
gpx_1001,2014-10-23 09:29:48,5.740431667,45.191695,220.2
gpx_1001,2014-10-23 09:29:53,5.739923333,45.191663333,219.6
gpx_1001,2014-10-23 09:29:57,5.739463333,45.191605,220.8
gpx_1001,2014-10-23 09:30:03,5.739091667,45.19156,221.2
gpx_1001,2014-10-23 09:30:08,5.738841667,45.191483333,222.5
gpx_1001,2014-10-23 09:30:13,5.738678333,45.191375,225.4
gpx_1001,2014-10-23 09:30:18,5.738615,45.19136,224.8
gpx_1001,2014-10-23 09:30:23,5.738615,45.19136,224.8
gpx_1001,2014-10-23 09:30:28,5.738615,45.19136,224.8
gpx_1001,2014-10-23 09:30:33,5.73859,45.191343333,224.2
gpx_1001,2014-10-23 09:30:38,5.738465,45.19126,223.9
gpx_1001,2014-10-23 09:30:43,5.73819,45.191086667,223.9
gpx_1001,2014-10-23 09:30:48,5.737956667,45.190955,225.2
gpx_1001,2014-10-23 09:30:58,5.73766,45.190838333,226.4
gpx_1001,2014-10-23 09:31:03,5.736925,45.191118333,224.2
gpx_1001,2014-10-23 09:31:08,5.736663333,45.191236667,225.1
gpx_1001,2014-10-23 09:31:13,5.736348333,45.191145,227.2
gpx_1001,2014-10-23 09:31:18,5.736051667,45.191001667,228.9
gpx_1001,2014-10-23 09:31:23,5.735861667,45.190846667,228.4
gpx_1001,2014-10-23 09:31:28,5.73583,45.19083,229.1
gpx_1001,2014-10-23 09:31:33,5.73575,45.190838333,230.4
gpx_1001,2014-10-23 09:31:38,5.735596667,45.190835,233.4
gpx_1001,2014-10-23 09:31:39,5.735095,45.190613333,234.2
gpx_1001,2014-10-23 09:31:48,5.734688333,45.19046,232.8
gpx_1001,2014-10-23 09:31:53,5.734316667,45.190283333,233.1
gpx_1001,2014-10-23 09:31:58,5.733918333,45.190138333,234.0
gpx_1001,2014-10-23 09:32:03,5.733566667,45.189975,234.2
gpx_1001,2014-10-23 09:32:08,5.733208333,45.189848333,234.2
gpx_1001,2014-10-23 09:32:13,5.732858333,45.189703333,234.5
gpx_1001,2014-10-23 09:32:18,5.732476667,45.189568333,234.9
gpx_1001,2014-10-23 09:32:23,5.732083333,45.1894,235.1
gpx_1001,2014-10-23 09:32:28,5.731785,45.189296667,235.4
gpx_1001,2014-10-23 09:32:33,5.731723333,45.189276667,235.8
gpx_1001,2014-10-23 09:32:38,5.731686667,45.189271667,235.5
gpx_1001,2014-10-23 09:32:43,5.73154,45.189223333,234.4
gpx_1001,2014-10-23 09:32:48,5.73124,45.189123333,230.7
gpx_1001,2014-10-23 09:32:53,5.730896667,45.188998333,227.7
gpx_1001,2014-10-23 09:32:58,5.73053,45.188856667,227.0
gpx_1001,2014-10-23 09:33:03,5.730158333,45.188678333,227.2
gpx_1001,2014-10-23 09:33:13,5.72981,45.188548333,225.9
gpx_1001,2014-10-23 09:33:18,5.729308333,45.188411667,228.3
gpx_1001,2014-10-23 09:33:23,5.728966667,45.188321667,228.2
gpx_1001,2014-10-23 09:33:28,5.728605,45.188196667,227.8
gpx_1001,2014-10-23 09:33:43,5.728201667,45.188086667,227.6
gpx_1001,2014-10-23 09:33:48,5.727283333,45.18777,227.6
gpx_1001,2014-10-23 09:33:53,5.727051667,45.187756667,228.5
gpx_1001,2014-10-23 09:33:58,5.72681,45.187648333,228.7
gpx_1001,2014-10-23 09:34:03,5.726698333,45.187831667,228.1
gpx_1001,2014-10-23 09:34:08,5.726578333,45.187993333,227.1
gpx_1001,2014-10-23 09:34:13,5.7265,45.188098333,226.4
gpx_1001,2014-10-23 09:34:18,5.72654,45.188076667,225.0
gpx_1001,2014-10-23 09:34:23,5.726536667,45.188078333,225.4
gpx_1001,2014-10-23 09:34:28,5.726435,45.188146667,226.4
gpx_1001,2014-10-23 09:34:33,5.726241667,45.18831,227.3
gpx_1001,2014-10-23 09:34:38,5.725976667,45.188523333,228.2
gpx_1001,2014-10-23 09:34:43,5.725675,45.188763333,226.5
gpx_1001,2014-10-23 09:34:48,5.725441667,45.188986667,224.7
gpx_1001,2014-10-23 09:34:53,5.725171667,45.189201667,224.8
gpx_1001,2014-10-23 09:34:58,5.72494,45.189385,221.7
gpx_1001,2014-10-23 09:35:03,5.72477,45.189525,219.9
gpx_1001,2014-10-23 09:35:08,5.724643333,45.189536667,220.6
gpx_1001,2014-10-23 09:35:11,5.72453,45.189468333,224.0
gpx_1001,2014-10-23 09:35:18,5.724288333,45.189325,225.4
gpx_1001,2014-10-23 09:35:23,5.724033333,45.189165,226.4
gpx_1001,2014-10-23 09:35:28,5.723808333,45.189021667,226.9
gpx_1001,2014-10-23 09:35:33,5.72358,45.18892,225.4
gpx_1001,2014-10-23 09:35:38,5.723286667,45.188868333,224.5
gpx_1001,2014-10-23 09:35:48,5.723021667,45.188933333,224.9
gpx_1001,2014-10-23 09:35:53,5.722758333,45.189091667,223.6
gpx_1001,2014-10-23 09:35:58,5.7227,45.189118333,224.5
gpx_1001,2014-10-23 09:36:03,5.722701667,45.189113333,225.4
gpx_1001,2014-10-23 09:36:08,5.722701667,45.189113333,225.4
gpx_1001,2014-10-23 09:36:13,5.722701667,45.189113333,225.4
gpx_1001,2014-10-23 09:36:18,5.722701667,45.189113333,225.4
gpx_1001,2014-10-23 09:36:23,5.722701667,45.189113333,225.4
gpx_1001,2014-10-23 09:36:28,5.722663333,45.189105,227.3
gpx_1001,2014-10-23 09:36:33,5.722553333,45.189075,227.9
gpx_1001,2014-10-23 09:36:38,5.722425,45.189093333,227.4
gpx_1001,2014-10-23 09:36:43,5.722141667,45.189145,225.6
gpx_1001,2014-10-23 09:36:48,5.721885,45.189206667,224.8
gpx_1001,2014-10-23 09:37:03,5.72162,45.189226667,223.4
gpx_1001,2014-10-23 09:37:08,5.721113333,45.189345,223.2
gpx_1001,2014-10-23 09:37:13,5.721045,45.189328333,224.2
gpx_1001,2014-10-23 09:37:18,5.720798333,45.189318333,224.9
gpx_1001,2014-10-23 09:37:23,5.720466667,45.189326667,224.4
gpx_1001,2014-10-23 09:37:28,5.720108333,45.18937,222.4
gpx_1001,2014-10-23 09:37:33,5.719928333,45.18953,222.8
gpx_1001,2014-10-23 09:37:38,5.719836667,45.189671667,225.2
gpx_1001,2014-10-23 09:37:43,5.719808333,45.189756667,227.2
gpx_1001,2014-10-23 09:37:48,5.719915,45.189973333,228.3
gpx_1001,2014-10-23 09:37:53,5.719931667,45.190011667,228.6
gpx_1001,2014-10-23 09:37:58,5.719933333,45.190015,228.6
gpx_1001,2014-10-23 09:38:03,5.719938333,45.190018333,228.6
gpx_1001,2014-10-23 09:38:08,5.719941667,45.190023333,228.6
gpx_1001,2014-10-23 09:38:13,5.719946667,45.190026667,228.6
gpx_1001,2014-10-23 09:38:18,5.71995,45.190028333,228.6
gpx_1001,2014-10-23 09:38:23,5.719951667,45.190031667,228.6
gpx_1001,2014-10-23 09:38:28,5.719955,45.190035,228.6
gpx_1001,2014-10-23 09:38:33,5.719958333,45.190038333,228.7
gpx_1001,2014-10-23 09:38:38,5.719958333,45.19004,228.7
gpx_1001,2014-10-23 09:38:43,5.719958333,45.19004,228.7
gpx_1001,2014-10-23 09:38:48,5.71996,45.190041667,228.7
gpx_1001,2014-10-23 09:38:53,5.71996,45.190041667,228.7
gpx_1001,2014-10-23 09:38:58,5.719961667,45.190045,228.7
gpx_1001,2014-10-23 09:39:03,5.719961667,45.190046667,228.8
gpx_1001,2014-10-23 09:39:08,5.719963333,45.190048333,228.8
gpx_1001,2014-10-23 09:39:13,5.719963333,45.190048333,228.8
gpx_1001,2014-10-23 09:39:18,5.719965,45.19005,228.8
gpx_1001,2014-10-23 09:39:23,5.719966667,45.190053333,228.9
gpx_1001,2014-10-23 09:39:28,5.719968333,45.190056667,228.9
gpx_1001,2014-10-23 09:39:33,5.719968333,45.190058333,228.9
gpx_1001,2014-10-23 09:39:38,5.71997,45.19006,228.9
gpx_1001,2014-10-23 09:39:43,5.71997,45.19006,228.9
gpx_1001,2014-10-23 09:39:48,5.719971667,45.190061667,228.9
gpx_1001,2014-10-23 09:39:53,5.719973333,45.190063333,228.9
gpx_1001,2014-10-23 09:39:58,5.719973333,45.190065,228.9
gpx_1001,2014-10-23 09:40:03,5.719973333,45.190066667,228.9
gpx_1001,2014-10-23 09:40:08,5.719975,45.190066667,228.9
gpx_1001,2014-10-23 09:40:13,5.719975,45.190068333,228.9
gpx_1001,2014-10-23 09:40:18,5.719976667,45.19007,228.9
gpx_1001,2014-10-23 09:40:23,5.719976667,45.19007,228.9
gpx_1001,2014-10-23 09:40:28,5.719978333,45.190071667,228.9
gpx_1001,2014-10-23 09:40:33,5.719986667,45.190083333,228.6
gpx_1001,2014-10-23 09:40:38,5.719986667,45.190083333,228.6
gpx_1001,2014-10-23 09:40:43,5.719986667,45.190083333,228.6
gpx_1001,2014-10-23 09:40:48,5.720006667,45.190103333,228.5
gpx_1001,2014-10-23 09:40:53,5.720013333,45.190121667,228.2
gpx_1001,2014-10-23 09:40:58,5.719985,45.190126667,228.1
gpx_1001,2014-10-23 09:41:03,5.719915,45.190165,230.7
gpx_1001,2014-10-23 09:41:08,5.719966667,45.190405,233.7
gpx_1001,2014-10-23 09:41:13,5.720071667,45.190691667,236.7
gpx_1001,2014-10-23 09:41:18,5.720116667,45.190905,238.8
gpx_1001,2014-10-23 09:41:28,5.720128333,45.190995,237.4
gpx_1001,2014-10-23 09:41:38,5.720276667,45.191353333,234.1
gpx_1001,2014-10-23 09:41:43,5.720296667,45.191458333,235.8
gpx_1001,2014-10-23 09:41:48,5.720358333,45.191673333,237.8
gpx_1001,2014-10-23 09:41:58,5.720498333,45.191946667,238.0
gpx_1001,2014-10-23 09:42:03,5.720495,45.192108333,233.9
gpx_1001,2014-10-23 09:42:08,5.720311667,45.192076667,232.7
gpx_1001,2014-10-23 09:42:13,5.720198333,45.192125,232.4
gpx_1001,2014-10-23 09:42:18,5.720193333,45.192123333,232.2
gpx_1001,2014-10-23 09:42:23,5.720193333,45.192123333,232.2
gpx_1001,2014-10-23 09:42:28,5.720185,45.192125,232.0
gpx_1001,2014-10-23 09:42:33,5.720163333,45.19214,231.3
gpx_1001,2014-10-23 09:42:43,5.720096667,45.19223,228.2
gpx_1001,2014-10-23 09:42:48,5.719838333,45.192356667,225.3
gpx_1001,2014-10-23 09:42:49,5.7196,45.192403333,224.5
gpx_1001,2014-10-23 09:43:03,5.71924,45.192466667,223.7
gpx_1001,2014-10-23 09:43:08,5.718436667,45.192638333,223.1
gpx_1001,2014-10-23 09:43:13,5.718035,45.192793333,222.8
gpx_1001,2014-10-23 09:43:18,5.717688333,45.192903333,222.9
gpx_1001,2014-10-23 09:43:23,5.717326667,45.193031667,222.9
gpx_1001,2014-10-23 09:43:28,5.716943333,45.193206667,222.7
gpx_1001,2014-10-23 09:43:33,5.71656,45.19339,222.6
gpx_1001,2014-10-23 09:43:38,5.716195,45.193585,221.9
gpx_1001,2014-10-23 09:43:43,5.71586,45.193806667,220.8
gpx_1001,2014-10-23 09:43:48,5.715546667,45.194045,220.8
gpx_1001,2014-10-23 09:43:53,5.715263333,45.194286667,221.1
gpx_1001,2014-10-23 09:43:54,5.715068333,45.194498333,221.9
gpx_1001,2014-10-23 09:44:03,5.714958333,45.194676667,222.4
gpx_1001,2014-10-23 09:44:08,5.714756667,45.19494,222.0
gpx_1001,2014-10-23 09:44:12,5.714653333,45.195161667,221.5
gpx_1001,2014-10-23 09:44:18,5.71457,45.195363333,222.1
gpx_1001,2014-10-23 09:44:23,5.714496667,45.195576667,222.6
gpx_1001,2014-10-23 09:44:28,5.714455,45.195761667,222.7
gpx_1001,2014-10-23 09:44:33,5.714446667,45.19583,222.9
gpx_1001,2014-10-23 09:44:38,5.714436667,45.195911667,223.3
gpx_1001,2014-10-23 09:44:42,5.71442,45.19603,223.4
gpx_1001,2014-10-23 09:44:48,5.714406667,45.196278333,223.4
gpx_1001,2014-10-23 09:44:53,5.71442,45.196491667,222.8
gpx_1001,2014-10-23 09:44:58,5.71444,45.19672,222.8
gpx_1001,2014-10-23 09:45:03,5.714455,45.196941667,222.6
gpx_1001,2014-10-23 09:45:04,5.714468333,45.19718,222.0
gpx_1001,2014-10-23 09:45:13,5.714471667,45.197405,221.6
gpx_1001,2014-10-23 09:45:18,5.714495,45.197618333,221.2
gpx_1001,2014-10-23 09:45:23,5.714508333,45.197811667,221.2
gpx_1001,2014-10-23 09:45:28,5.714506667,45.198068333,221.3
gpx_1001,2014-10-23 09:45:33,5.714461667,45.198355,221.5
gpx_1001,2014-10-23 09:45:38,5.71441,45.19862,223.3
gpx_1001,2014-10-23 09:45:43,5.714341667,45.198863333,224.7
gpx_1001,2014-10-23 09:45:48,5.714205,45.199153333,224.6
gpx_1001,2014-10-23 09:45:53,5.714158333,45.199445,226.3
gpx_1001,2014-10-23 09:45:58,5.714131667,45.19964,226.0
gpx_1001,2014-10-23 09:46:03,5.714061667,45.199875,225.3
gpx_1001,2014-10-23 09:46:08,5.713991667,45.200186667,224.4
gpx_1001,2014-10-23 09:46:13,5.7139,45.200481667,224.3
gpx_1001,2014-10-23 09:46:18,5.713786667,45.200746667,225.4
